seqnames	start	end	width	strand	id
NC_003028	72455	72653	198	1	SP_0068
NC_003028	72673	73309	636	1	SP_0069
NC_003028	73352	73454	102	1	SP_0070
NC_003028	73760	79331	5571	1	SP_0071
NC_003028	79433	79547	114	1	SP_0072
NC_003028	79686	80541	855	1	SP_0073
NC_003028	80646	81204	558	1	SP_0074
NC_003028	81480	82185	705	1	SP_0075
NC_003028	82589	82682	93	-1	SP_0076
NC_003028	82658	82817	159	1	SP_0077
NC_003028	82797	84177	1380	1	SP_0078
NC_003028	84190	84856	666	1	SP_0079
NC_003028	84876	84984	108	1	SP_0080
NC_003028	86297	88871	2574	1	SP_0082
NC_003028	89037	89736	699	1	SP_0083
NC_003028	89732	90785	1053	1	SP_0084
NC_003028	90979	91591	612	1	SP_0085
NC_003028	92024	92165	141	-1	SP_0087
NC_003028	92235	92505	270	1	SP_0088
NC_003028	92584	92680	96	1	SP_0089
NC_003028	92968	93928	960	1	SP_0090
NC_003028	93941	94865	924	1	SP_0091
NC_003028	95122	96598	1476	1	SP_0092
NC_003028	96627	96741	114	-1	SP_0093
NC_003028	96712	96820	108	1	SP_0094
NC_003028	96869	97856	987	1	SP_0095
NC_003028	98130	98991	861	1	SP_0096
NC_003028	99168	100233	1065	-1	SP_0097
NC_003028	100295	101207	912	-1	SP_0098
NC_003028	101199	101793	594	-1	SP_0099
NC_003028	101779	102106	327	-1	SP_0100
NC_003028	102244	103411	1167	-1	SP_0101
NC_003028	103561	104626	1065	1	SP_0102
NC_003028	104667	106518	1851	1	SP_0103
NC_003028	106955	107588	633	-1	SP_0104
NC_003028	107609	108482	873	-1	SP_0105
NC_003028	108490	109162	672	-1	SP_0106
NC_003028	109403	109991	588	1	SP_0107
NC_003028	110042	110363	321	-1	SP_0108
NC_003028	110793	111081	288	1	SP_0109
NC_003028	111156	113241	2085	1	SP_0110
NC_003028	113237	113879	642	1	SP_0111
NC_003028	114085	114892	807	1	SP_0112
NC_003028	115514	115835	321	-1	SP_0114
NC_003028	116592	116973	381	1	SP_0115
NC_003028	117624	117870	246	1	SP_0116
NC_003028	118422	120657	2235	1	SP_0117
NC_003028	121057	122179	1122	1	SP_0118
NC_003028	122319	122775	456	1	SP_0119
NC_003028	122784	124698	1914	1	SP_0120
NC_003028	125050	126730	1680	-1	SP_0121
NC_003028	126731	126965	234	-1	SP_0122
NC_003028	127290	127536	246	-1	SP_0123
NC_003028	127782	127935	153	-1	SP_0124
NC_003028	127936	128122	186	-1	SP_0125
NC_003028	128096	128204	108	1	SP_0126
NC_003028	128299	128983	684	1	SP_0127
NC_003028	128979	129417	438	1	SP_0128
NC_003028	129406	130417	1011	1	SP_0129
NC_003028	133023	133587	564	1	SP_0133
NC_003028	133564	133771	207	1	SP_0134
NC_003028	133794	134238	444	1	SP_0135
NC_003028	134230	135106	876	1	SP_0136
NC_003028	135192	136809	1617	1	SP_0137
NC_003028	137030	137498	468	1	SP_0138
NC_003028	137503	138259	756	1	SP_0139
NC_003028	139838	140702	864	1	SP_0141
NC_003028	140987	141221	234	1	SP_0142
NC_003028	141242	141920	678	1	SP_0143
NC_003028	141931	142597	666	1	SP_0144
NC_003028	142668	143895	1227	1	SP_0145
NC_003028	144439	145096	657	1	SP_0146
NC_003028	145085	145295	210	1	SP_0147
NC_003028	145512	146343	831	1	SP_0148
NC_003028	146496	147351	855	1	SP_0149
NC_003028	147450	148824	1374	1	SP_0150
NC_003028	148816	149878	1062	1	SP_0151
NC_003028	149879	150572	693	1	SP_0152
NC_003028	150601	151171	570	-1	SP_0153
NC_003028	151305	151920	615	1	SP_0154
NC_003028	151921	153568	1647	1	SP_0155
NC_003028	153579	154866	1287	1	SP_0156
NC_003028	154869	155451	582	1	SP_0157
NC_003028	155528	155999	471	1	SP_0158
NC_003028	156291	157554	1263	-1	SP_0159
NC_003028	157863	158322	459	-1	SP_0160
NC_003028	158318	158759	441	-1	SP_0161
NC_003028	158848	158944	96	1	SP_0162
NC_003028	159191	160058	867	1	SP_0163
NC_003028	160210	160339	129	1	SP_0164
NC_003028	160383	160941	558	1	SP_0165
NC_003028	161161	162268	1107	1	SP_0166
NC_003028	162243	163635	1392	1	SP_0167
NC_003028	163631	164810	1179	1	SP_0168
NC_003028	165094	165211	117	1	SP_0170
NC_003028	165234	165468	234	1	SP_0171
NC_003028	165585	165690	105	1	SP_0172
NC_003028	165750	167700	1950	1	SP_0173
NC_003028	167835	167928	93	-1	SP_0174
NC_003028	168024	168492	468	-1	SP_0175
NC_003028	168492	169698	1206	-1	SP_0176
NC_003028	169717	170353	636	-1	SP_0177
NC_003028	170337	171438	1101	-1	SP_0178
NC_003028	171842	172436	594	1	SP_0179
NC_003028	172472	173009	537	1	SP_0180
NC_003028	173005	173683	678	1	SP_0181
NC_003028	173819	174851	1032	-1	SP_0182
NC_003028	175038	175134	96	-1	SP_0183
NC_003028	175105	175810	705	-1	SP_0184
NC_003028	175800	176745	945	-1	SP_0185
NC_003028	176876	179708	2832	1	SP_0186
NC_003028	179700	180762	1062	1	SP_0187
NC_003028	180766	180859	93	1	SP_0188
NC_003028	180893	181292	399	1	SP_0189
NC_003028	181260	181380	120	1	SP_0190
NC_003028	181357	181927	570	1	SP_0191
NC_003028	182013	182280	267	1	SP_0192
NC_003028	182718	183024	306	1	SP_0194
NC_003028	182989	183088	99	1	SP_0195
NC_003028	183072	183168	96	1	SP_0196
NC_003028	183282	184533	1251	1	SP_0197
NC_003028	184616	185075	459	1	SP_0198
NC_003028	185328	186753	1425	1	SP_0199
NC_003028	187010	188306	1296	1	SP_0200
NC_003028	188283	188550	267	1	SP_0201
NC_003028	188669	190877	2208	1	SP_0202
NC_003028	190888	191029	141	1	SP_0203
NC_003028	191072	191579	507	1	SP_0204
NC_003028	191571	192162	591	1	SP_0205
NC_003028	192158	192461	303	1	SP_0206
NC_003028	192436	192775	339	1	SP_0207
NC_003028	193041	193350	309	1	SP_0208
NC_003028	193566	194193	627	1	SP_0209
NC_003028	194217	194841	624	1	SP_0210
NC_003028	194840	195137	297	1	SP_0211
NC_003028	195154	195988	834	1	SP_0212
NC_003028	196091	196373	282	1	SP_0213
NC_003028	196384	196729	345	1	SP_0214
NC_003028	196741	197395	654	1	SP_0215
NC_003028	197398	197812	414	1	SP_0216
NC_003028	197821	198028	207	1	SP_0217
NC_003028	198052	198313	261	1	SP_0218
NC_003028	198338	198707	369	1	SP_0219
NC_003028	198784	199090	306	1	SP_0220
NC_003028	199113	199656	543	1	SP_0221
NC_003028	199673	199943	270	1	SP_0222
NC_003028	199909	200032	123	-1	SP_0223
NC_003028	200227	200626	399	1	SP_0224
NC_003028	200817	201354	537	1	SP_0225
NC_003028	201437	201794	357	1	SP_0226
NC_003028	201811	202306	495	1	SP_0227
NC_003028	202319	202502	183	1	SP_0228
NC_003028	202646	203087	441	1	SP_0229
NC_003028	203099	204410	1311	1	SP_0230
NC_003028	204560	205199	639	1	SP_0231
NC_003028	205315	205534	219	1	SP_0232
NC_003028	205558	205675	117	1	SP_0233
NC_003028	205692	206058	366	1	SP_0234
NC_003028	206075	206459	384	1	SP_0235
NC_003028	206501	207437	936	1	SP_0236
NC_003028	207448	207835	387	1	SP_0237
NC_003028	208099	208366	267	1	SP_0238
NC_003028	208375	209713	1338	1	SP_0239
NC_003028	209956	210649	693	1	SP_0240
NC_003028	212386	213478	1092	-1	SP_0242
NC_003028	213490	214507	1017	-1	SP_0243
NC_003028	214811	214919	108	-1	SP_0244
NC_003028	215093	215870	777	-1	SP_0245
NC_003028	215991	216738	747	1	SP_0246
NC_003028	216750	217731	981	1	SP_0247
NC_003028	217925	218246	321	1	SP_0248
NC_003028	218291	218600	309	1	SP_0249
NC_003028	218592	219915	1323	1	SP_0250
NC_003028	220065	222504	2439	1	SP_0251
NC_003028	222522	223191	669	1	SP_0252
NC_003028	223208	224297	1089	1	SP_0253
NC_003028	224751	227253	2502	1	SP_0254
NC_003028	227447	228143	696	1	SP_0255
NC_003028	228154	228571	417	1	SP_0256
NC_003028	231372	231465	93	-1	SP_0258
NC_003028	231599	232598	999	1	SP_0259
NC_003028	232578	233151	573	1	SP_0260
NC_003028	233381	234140	759	1	SP_0261
NC_003028	234148	234952	804	1	SP_0262
NC_003028	234973	236233	1260	1	SP_0263
NC_003028	236245	238099	1854	1	SP_0264
NC_003028	238197	239577	1380	1	SP_0265
NC_003028	239769	241578	1809	1	SP_0266
NC_003028	241696	242746	1050	1	SP_0267
NC_003028	242845	246688	3843	-1	SP_0268
NC_003028	246874	246970	96	1	SP_0269
NC_003028	247025	247118	93	1	SP_0270
NC_003028	247104	247518	414	1	SP_0271
NC_003028	247537	248008	471	1	SP_0272
NC_003028	248432	250514	2082	1	SP_0273
NC_003028	250617	255009	4392	1	SP_0274
NC_003028	255110	255374	264	1	SP_0275
NC_003028	255366	255645	279	1	SP_0276
NC_003028	255665	255818	153	1	SP_0277
NC_003028	255839	257081	1242	1	SP_0278
NC_003028	257090	257321	231	1	SP_0279
NC_003028	257588	258311	723	1	SP_0280
NC_003028	258528	259863	1335	1	SP_0281
NC_003028	259918	260830	912	-1	SP_0282
NC_003028	260853	261657	804	-1	SP_0283
NC_003028	261684	262683	999	-1	SP_0284
NC_003028	262906	263926	1020	-1	SP_0285
NC_003028	264265	265078	813	-1	SP_0286
NC_003028	265213	266686	1473	1	SP_0287
NC_003028	266753	267446	693	1	SP_0288
NC_003028	267570	268515	945	1	SP_0289
NC_003028	268516	269839	1323	1	SP_0290
NC_003028	269819	270374	555	1	SP_0291
NC_003028	270416	271229	813	1	SP_0292
NC_003028	271378	271750	372	-1	SP_0293
NC_003028	272051	272498	447	1	SP_0294
NC_003028	272516	272909	393	1	SP_0295
NC_003028	273171	273303	132	-1	SP_0296
NC_003028	273501	273651	150	-1	SP_0297
NC_003028	273952	275161	1209	-1	SP_0298
NC_003028	275289	275637	348	1	SP_0299
NC_003028	275815	276154	339	1	SP_0300
NC_003028	276282	276648	366	1	SP_0302
NC_003028	276837	278274	1437	1	SP_0303
NC_003028	278325	278565	240	1	SP_0304
NC_003028	278694	279009	315	1	SP_0305
NC_003028	279126	280608	1482	1	SP_0306
NC_003028	280608	281106	498	1	SP_0307
NC_003028	281115	281430	315	1	SP_0308
NC_003028	281460	281967	507	1	SP_0309
NC_003028	282046	283393	1347	1	SP_0310
NC_003028	283771	283948	177	1	SP_0311
NC_003028	284522	286562	2040	1	SP_0312
NC_003028	286783	287260	477	-1	SP_0313
NC_003028	287482	290683	3201	1	SP_0314
NC_003028	291699	291807	108	-1	SP_0316
NC_003028	291830	292460	630	-1	SP_0317
NC_003028	292469	293471	1002	-1	SP_0318
NC_003028	293501	294143	642	-1	SP_0319
NC_003028	294161	294977	816	-1	SP_0320
NC_003028	295247	295682	435	1	SP_0321
NC_003028	295693	296884	1191	1	SP_0322
NC_003028	296894	297386	492	1	SP_0323
NC_003028	297400	298180	780	1	SP_0324
NC_003028	298166	298985	819	1	SP_0325
NC_003028	298984	299278	294	1	SP_0326
NC_003028	299299	300940	1641	1	SP_0327
NC_003028	301055	302402	1347	1	SP_0328
NC_003028	302579	302909	330	1	SP_0329
NC_003028	302968	303970	1002	1	SP_0330
NC_003028	304678	305221	543	-1	SP_0332
NC_003028	305236	305431	195	-1	SP_0333
NC_003028	305596	306547	951	1	SP_0334
NC_003028	306558	306876	318	1	SP_0335
NC_003028	306879	309132	2253	1	SP_0336
NC_003028	309133	310114	981	1	SP_0337
NC_003028	310722	312828	2106	1	SP_0338
NC_003028	313123	313606	483	-1	SP_0340
NC_003028	313700	315185	1485	-1	SP_0341
NC_003028	315337	316945	1608	1	SP_0342
NC_003028	317354	318701	1347	-1	SP_0343
NC_003028	318977	319316	339	-1	SP_0344
NC_003028	319494	319842	348	-1	SP_0345
NC_003028	320076	321522	1446	1	SP_0346
NC_003028	321523	322255	732	1	SP_0347
NC_003028	322263	322956	693	1	SP_0348
NC_003028	322965	323649	684	1	SP_0349
NC_003028	323989	324625	636	1	SP_0350
NC_003028	324633	325863	1230	1	SP_0351
NC_003028	325867	326944	1077	1	SP_0352
NC_003028	326936	328055	1119	1	SP_0353
NC_003028	328055	329456	1401	1	SP_0354
NC_003028	329455	330538	1083	1	SP_0355
NC_003028	330527	331769	1242	1	SP_0356
NC_003028	331773	332871	1098	1	SP_0357
NC_003028	332874	333930	1056	1	SP_0358
NC_003028	334029	335259	1230	1	SP_0359
NC_003028	335259	336444	1185	1	SP_0360
NC_003028	339095	341081	1986	1	SP_0366
NC_003028	341228	341348	120	1	SP_0367
NC_003028	341382	346686	5304	1	SP_0368
NC_003028	346852	349012	2160	-1	SP_0369
NC_003028	349008	349605	597	-1	SP_0370
NC_003028	349670	350198	528	1	SP_0371
NC_003028	350267	350597	330	1	SP_0372
NC_003028	351082	352240	1158	1	SP_0373
NC_003028	352252	353647	1395	1	SP_0374
NC_003028	353722	355147	1425	1	SP_0375
NC_003028	355158	355848	690	1	SP_0376
NC_003028	355946	356969	1023	1	SP_0377
NC_003028	356986	357985	999	1	SP_0378
NC_003028	358102	359335	1233	-1	SP_0379
NC_003028	359377	360253	876	-1	SP_0380
NC_003028	361317	362196	879	1	SP_0381
NC_003028	362177	363131	954	1	SP_0382
NC_003028	363117	364125	1008	1	SP_0383
NC_003028	364108	365119	1011	1	SP_0384
NC_003028	365195	365894	699	1	SP_0385
NC_003028	365890	366886	996	1	SP_0386
NC_003028	366899	367532	633	1	SP_0387
NC_003028	368450	368690	240	1	SP_0389
NC_003028	368734	369592	858	1	SP_0390
NC_003028	369610	370633	1023	1	SP_0391
NC_003028	372309	374079	1770	1	SP_0394
NC_003028	374102	376058	1956	1	SP_0395
NC_003028	376059	376497	438	1	SP_0396
NC_003028	376558	377695	1137	1	SP_0397
NC_003028	377852	378011	159	1	SP_0398
NC_003028	378480	379764	1284	1	SP_0400
NC_003028	379811	382178	2367	-1	SP_0401
NC_003028	382456	383071	615	-1	SP_0402
NC_003028	383074	383956	882	-1	SP_0403
NC_003028	384033	384345	312	1	SP_0404
NC_003028	384341	384890	549	1	SP_0405
NC_003028	384993	387330	2337	1	SP_0406
NC_003028	387450	387552	102	-1	SP_0407
NC_003028	387672	388995	1323	1	SP_0408
NC_003028	389212	389761	549	1	SP_0409
NC_003028	389870	390770	900	1	SP_0410
NC_003028	390794	392069	1275	-1	SP_0411
NC_003028	392281	392653	372	-1	SP_0412
NC_003028	392655	394020	1365	-1	SP_0413
NC_003028	394103	394208	105	-1	SP_0414
NC_003028	394344	395130	786	1	SP_0415
NC_003028	395223	395658	435	1	SP_0416
NC_003028	395657	396632	975	1	SP_0417
NC_003028	396691	396916	225	1	SP_0418
NC_003028	397034	398009	975	1	SP_0419
NC_003028	398001	398922	921	1	SP_0420
NC_003028	398955	399687	732	1	SP_0421
NC_003028	399708	400944	1236	1	SP_0422
NC_003028	400946	401432	486	1	SP_0423
NC_003028	401428	401851	423	1	SP_0424
NC_003028	401862	403230	1368	1	SP_0425
NC_003028	403266	404133	867	1	SP_0426
NC_003028	404129	404897	768	1	SP_0427
NC_003028	404907	405015	108	1	SP_0428
NC_003028	405055	405241	186	1	SP_0429
NC_003028	405213	405732	519	1	SP_0430
NC_003028	405744	405981	237	1	SP_0431
NC_003028	407503	407926	423	-1	SP_0433
NC_003028	407918	408308	390	-1	SP_0434
NC_003028	408329	408890	561	-1	SP_0435
NC_003028	409018	410461	1443	-1	SP_0436
NC_003028	410460	411927	1467	-1	SP_0437
NC_003028	411926	412229	303	-1	SP_0438
NC_003028	412441	413986	1545	1	SP_0439
NC_003028	414868	415057	189	1	SP_0441
NC_003028	415213	415579	366	1	SP_0442
NC_003028	415581	417249	1668	1	SP_0443
NC_003028	417235	417337	102	-1	SP_0444
NC_003028	417448	419149	1701	1	SP_0445
NC_003028	419141	419618	477	1	SP_0446
NC_003028	419695	420706	1011	1	SP_0447
NC_003028	420782	421049	267	1	SP_0448
NC_003028	421286	421643	357	1	SP_0449
NC_003028	421692	422943	1251	1	SP_0450
NC_003028	423677	423893	216	1	SP_0451
NC_003028	424001	424742	741	-1	SP_0452
NC_003028	424741	426307	1566	-1	SP_0453
NC_003028	426441	428334	1893	1	SP_0454
NC_003028	428330	428501	171	-1	SP_0455
NC_003028	429906	430752	846	1	SP_0457
NC_003028	430898	431933	1035	-1	SP_0458
NC_003028	432307	434632	2325	1	SP_0459
NC_003028	434769	436038	1269	-1	SP_0460
NC_003028	436302	437832	1530	-1	SP_0461
NC_003028	438326	441008	2682	1	SP_0462
NC_003028	441231	443229	1998	1	SP_0463
NC_003028	443275	444457	1182	1	SP_0464
NC_003028	444675	444807	132	-1	SP_0465
NC_003028	444857	445697	840	1	SP_0466
NC_003028	445791	446577	786	1	SP_0467
NC_003028	446563	447415	852	1	SP_0468
NC_003028	448878	449028	150	-1	SP_0470
NC_003028	449020	449305	285	-1	SP_0471
NC_003028	449696	449870	174	1	SP_0472
NC_003028	450738	451962	1224	-1	SP_0473
NC_003028	452129	453452	1323	1	SP_0474
NC_003028	453399	455340	1941	1	SP_0475
NC_003028	455507	455852	345	1	SP_0476
NC_003028	455861	457274	1413	1	SP_0477
NC_003028	457342	459022	1680	1	SP_0478
NC_003028	459147	460587	1440	-1	SP_0479
NC_003028	460590	461940	1350	-1	SP_0480
NC_003028	462100	462976	876	1	SP_0481
NC_003028	462990	463539	549	1	SP_0482
NC_003028	463904	465587	1683	1	SP_0483
NC_003028	465571	466402	831	1	SP_0484
NC_003028	466594	467098	504	1	SP_0486
NC_003028	467294	467513	219	-1	SP_0487
NC_003028	467550	468114	564	1	SP_0488
NC_003028	468103	468754	651	1	SP_0489
NC_003028	468781	469171	390	1	SP_0490
NC_003028	469175	469331	156	1	SP_0491
NC_003028	469302	469626	324	1	SP_0492
NC_003028	469753	470341	588	1	SP_0493
NC_003028	470730	472338	1608	1	SP_0494
NC_003028	472993	474340	1347	-1	SP_0495
NC_003028	474604	476236	1632	-1	SP_0496
NC_003028	476437	476548	111	1	SP_0497
NC_003028	476528	481508	4980	1	SP_0498
NC_003028	481597	482794	1197	1	SP_0499
NC_003028	482929	483457	528	1	SP_0500
NC_003028	483533	483890	357	1	SP_0501
NC_003028	483926	485273	1347	1	SP_0502
NC_003028	485368	485488	120	-1	SP_0503
NC_003028	485745	485883	138	1	SP_0504
NC_003028	486053	487334	1281	1	SP_0505
NC_003028	487390	488188	798	1	SP_0506
NC_003028	488258	488798	540	1	SP_0507
NC_003028	488751	490320	1569	-1	SP_0508
NC_003028	490319	491783	1464	-1	SP_0509
NC_003028	491795	494129	2334	-1	SP_0510
NC_003028	494479	494608	129	-1	SP_0511
NC_003028	494591	494702	111	1	SP_0512
NC_003028	494736	494928	192	1	SP_0513
NC_003028	494899	495247	348	1	SP_0514
NC_003028	495410	496445	1035	1	SP_0515
NC_003028	496471	496996	525	1	SP_0516
NC_003028	497484	499308	1824	1	SP_0517
NC_003028	499309	499456	147	1	SP_0518
NC_003028	500066	501203	1137	1	SP_0519
NC_003028	501892	502180	288	-1	SP_0520
NC_003028	502189	502600	411	-1	SP_0521
NC_003028	502667	503399	732	1	SP_0522
NC_003028	503395	504445	1050	1	SP_0523
NC_003028	504612	504942	330	-1	SP_0524
NC_003028	505217	505556	339	1	SP_0525
NC_003028	505560	506298	738	1	SP_0526
NC_003028	506311	507652	1341	1	SP_0527
NC_003028	507722	507851	129	-1	SP_0528
NC_003028	507907	509269	1362	-1	SP_0529
NC_003028	511718	511916	198	1	SP_0531
NC_003028	512382	512652	270	1	SP_0532
NC_003028	512720	512951	231	1	SP_0533
NC_003028	513185	513302	117	1	SP_0534
NC_003028	513369	513534	165	1	SP_0535
NC_003028	513530	513935	405	1	SP_0536
NC_003028	514137	514527	390	1	SP_0537
NC_003028	514552	514942	390	1	SP_0538
NC_003028	515091	515346	255	1	SP_0539
NC_003028	515361	515565	204	1	SP_0540
NC_003028	515808	515958	150	1	SP_0541
NC_003028	515939	516059	120	1	SP_0542
NC_003028	516699	516867	168	1	SP_0543
NC_003028	516951	517350	399	1	SP_0544
NC_003028	517401	518091	690	1	SP_0545
NC_003028	518132	518366	234	1	SP_0546
NC_003028	518516	519128	612	1	SP_0547
NC_003028	519221	519344	123	-1	SP_0548
NC_003028	519351	520083	732	1	SP_0549
NC_003028	520079	520715	636	1	SP_0550
NC_003028	520840	521320	480	1	SP_0552
NC_003028	521363	522500	1137	1	SP_0553
NC_003028	522521	522815	294	1	SP_0554
NC_003028	522807	523107	300	1	SP_0555
NC_003028	523123	526000	2877	1	SP_0556
NC_003028	526250	526601	351	1	SP_0557
NC_003028	526843	527659	816	1	SP_0558
NC_003028	527660	527843	183	1	SP_0559
NC_003028	527795	528029	234	-1	SP_0560
NC_003028	528290	528536	246	1	SP_0561
NC_003028	528535	529870	1335	1	SP_0562
NC_003028	529879	530134	255	1	SP_0563
NC_003028	530229	530625	396	1	SP_0564
NC_003028	531037	531487	450	1	SP_0565
NC_003028	531473	532034	561	1	SP_0566
NC_003028	532018	532612	594	1	SP_0567
NC_003028	532604	535256	2652	1	SP_0568
NC_003028	535551	537156	1605	1	SP_0570
NC_003028	537535	538339	804	1	SP_0571
NC_003028	539916	540078	162	1	SP_0573
NC_003028	540201	541032	831	1	SP_0574
NC_003028	541217	542864	1647	1	SP_0575
NC_003028	543163	544003	840	1	SP_0576
NC_003028	544020	545859	1839	1	SP_0577
NC_003028	545871	547287	1416	1	SP_0578
NC_003028	547768	548815	1047	1	SP_0579
NC_003028	548814	549324	510	1	SP_0580
NC_003028	549400	551806	2406	1	SP_0581
NC_003028	551873	552875	1002	-1	SP_0582
NC_003028	553625	553838	213	1	SP_0584
NC_003028	554098	556348	2250	1	SP_0585
NC_003028	556411	557278	867	1	SP_0586
NC_003028	557459	557729	270	-1	SP_0587
NC_003028	557962	560176	2214	1	SP_0588
NC_003028	560191	560809	618	1	SP_0589
NC_003028	560820	561705	885	1	SP_0590
NC_003028	561786	563130	1344	1	SP_0591
NC_003028	563122	563509	387	1	SP_0592
NC_003028	563512	564397	885	1	SP_0593
NC_003028	564533	564989	456	1	SP_0595
NC_003028	564985	565132	147	1	SP_0596
NC_003028	565788	565953	165	1	SP_0598
NC_003028	565915	567079	1164	1	SP_0599
NC_003028	567091	567739	648	1	SP_0600
NC_003028	567790	569170	1380	1	SP_0601
NC_003028	569349	569433	84	1	SP_0602
NC_003028	569481	570138	657	1	SP_0603
NC_003028	570134	571463	1329	1	SP_0604
NC_003028	571603	572485	882	1	SP_0605
NC_003028	572805	574008	1203	-1	SP_0606
NC_003028	574253	574913	660	-1	SP_0607
NC_003028	574922	575600	678	-1	SP_0608
NC_003028	575612	576377	765	-1	SP_0609
NC_003028	576416	577175	759	-1	SP_0610
NC_003028	577451	579674	2223	1	SP_0611
NC_003028	579707	579806	99	1	SP_0612
NC_003028	579848	581510	1662	1	SP_0613
NC_003028	581578	582358	780	1	SP_0614
NC_003028	582469	583690	1221	1	SP_0615
NC_003028	583694	584927	1233	1	SP_0616
NC_003028	584984	585707	723	1	SP_0617
NC_003028	585746	587591	1845	1	SP_0618
NC_003028	587580	588414	834	1	SP_0619
NC_003028	588595	589396	801	-1	SP_0620
NC_003028	589469	589580	111	1	SP_0621
NC_003028	589566	590172	606	1	SP_0622
NC_003028	590184	591585	1401	1	SP_0623
NC_003028	591638	592217	579	1	SP_0624
NC_003028	592819	594160	1341	1	SP_0626
NC_003028	594257	595295	1038	1	SP_0627
NC_003028	595263	595767	504	1	SP_0628
NC_003028	595769	596486	717	1	SP_0629
NC_003028	596794	597220	426	1	SP_0630
NC_003028	597426	598116	690	1	SP_0631
NC_003028	598657	599020	363	1	SP_0633
NC_003028	599322	599664	342	1	SP_0634
NC_003028	599591	599759	168	-1	SP_0635
NC_003028	600064	601057	993	1	SP_0636
NC_003028	601058	601877	819	1	SP_0637
NC_003028	601878	602664	786	1	SP_0638
NC_003028	602699	602981	282	1	SP_0639
NC_003028	602917	603163	246	1	SP_0640
NC_003028	603894	610317	6423	1	SP_0641
NC_003028	612683	613181	498	1	SP_0645
NC_003028	613218	613524	306	1	SP_0646
NC_003028	613571	615047	1476	1	SP_0647
NC_003028	615441	622143	6702	1	SP_0648
NC_003028	623456	623777	321	-1	SP_0650
NC_003028	624847	625405	558	1	SP_0652
NC_003028	625397	625652	255	1	SP_0653
NC_003028	625626	625728	102	1	SP_0654
NC_003028	625663	627718	2055	1	SP_0655
NC_003028	627896	628757	861	1	SP_0657
NC_003028	628967	629678	711	1	SP_0658
NC_003028	629697	630264	567	1	SP_0659
NC_003028	630451	631387	936	1	SP_0660
NC_003028	631654	632392	738	1	SP_0661
NC_003028	632388	634080	1692	1	SP_0662
NC_003028	634195	634759	564	1	SP_0663
NC_003028	634855	640501	5646	1	SP_0664
NC_003028	640561	642283	1722	1	SP_0665
NC_003028	642283	642901	618	1	SP_0666
NC_003028	642950	643949	999	1	SP_0667
NC_003028	644072	645035	963	1	SP_0668
